t,u,x,y
2.616000,4.000000,"[1.981993718558123, 0.926480730247894]",0.926481
2.632667,4.000000,"[1.9935440090421264, 0.9322558754894693]",0.932256
2.649333,4.000000,"[2.004910965461902, 0.9379393536990975]",0.937939
2.666000,4.000000,"[2.016097497820416, 0.9435326198781965]",0.943533
2.682667,4.000000,"[2.0271064699310717, 0.9490371059334286]",0.949037
2.699333,4.000000,"[2.0379407001508714, 0.9544542210432696]",0.954454
2.716000,4.000000,"[2.04860296210193, 0.9597853520187631]",0.959785
2.732667,4.000000,"[2.0590959853815436, 0.9650318636585483]",0.965032
2.749333,4.000000,"[2.0694224562609826, 0.9701950990982543]",0.970195
2.766000,4.000000,"[2.0795850183731908, 0.9752763801543501]",0.975276
2.782667,4.000000,"[2.089586273389571, 0.9802770076625354]",0.980277
2.799333,4.000000,"[2.0994287816860306, 0.985198261810762]",0.985198
2.816000,4.000000,"[2.1091150629984456, 0.9900414024669677]",0.990041
2.832667,4.000000,"[2.1186475970677336, 0.9948076695016107]",0.994808
2.849333,4.000000,"[2.1280288242746788, 0.9994982831050825]",0.999498
2.866000,4.000000,"[2.1372611462646787, 1.004114444100082]",1.004114
2.882667,-4.000000,"[2.028054925434509, 0.9999678958194061]",0.999968
2.899333,4.000000,"[2.0514938146382318, 0.991956889287485]",0.991957
2.916000,4.000000,"[2.069625873822585, 0.9890078309310593]",0.989008
2.932667,4.000000,"[2.08446502956836, 0.9891106811004696]",0.989111
2.949333,4.000000,"[2.097238658078099, 0.9910418888282926]",0.991042
2.966000,4.000000,"[2.108695141112524, 0.9940568368721913]",0.994057
2.982667,4.000000,"[2.11929115600397, 0.9977025526652202]",0.997703
2.999333,4.000000,"[2.12930572833181, 1.001703656588843]",1.001704
3.016000,-4.000000,"[2.0206176847362567, 0.9972034705348061]",0.997203
3.032667,4.000000,"[2.0444132770392476, 0.9889976886826662]",0.988998
3.049333,4.000000,"[2.062803054559015, 0.9859502695420639]",0.985950
3.066000,4.000000,"[2.077839007874893, 0.9860131502612006]",0.986013
3.082667,4.000000,"[2.0907717029081407, 0.9879396303027917]",0.987940
3.099333,4.000000,"[2.1023636531103493, 0.9909710002452171]",0.990971
3.116000,4.000000,"[2.1130801513538104, 0.994645710866005]",0.994646
3.132667,4.000000,"[2.1232054794766695, 0.998683164555075]",0.998683
3.149333,4.000000,"[2.1329136756782328, 1.0029129488626138]",1.002913
3.166000,-4.000000,"[2.0240196282561387, 0.9985423041324094]",0.998542
3.182667,4.000000,"[2.0476706480593183, 0.9904058459422057]",0.990406
3.199333,4.000000,"[2.065953565951219, 0.9873912319923149]",0.987391
3.216000,4.000000,"[2.080905924063814, 0.9874648289199613]",0.987465
3.232667,4.000000,"[2.0937694850264275, 0.9893887208223698]",0.989389
3.249333,4.000000,"[2.105301396757115, 0.9924095454501809]",0.992410
3.266000,4.000000,"[2.115963680131699, 0.9960690075075566]",0.996069
3.282667,4.000000,"[2.1260386199485253, 1.0000884886411996]",1.000088
3.299333,-4.000000,"[2.017407032710464, 0.9956093410392725]",0.995609
3.316000,4.000000,"[2.0412563870314817, 0.9874260619283979]",0.987426
3.332667,4.000000,"[2.0596979781714495, 0.9844018834007721]",0.984402
3.349333,4.000000,"[2.074784255842754, 0.984488302685839]",0.984488
3.366000,4.000000,"[2.0877660703667646, 0.9864383537555121]",0.986438
3.382667,4.000000,"[2.0994061131132495, 0.9894931678791646]",0.989493
3.399333,4.000000,"[2.1101697899541962, 0.993191101148424]",0.993191
3.416000,4.000000,"[2.120341456120697, 0.9972515005833638]",0.997252
3.432667,4.000000,"[2.130095199013317, 1.0015039222699407]",1.001504
3.449333,-4.000000,"[2.0212459413275896, 0.9971555896095423]",0.997156
3.466000,4.000000,"[2.0449410192252455, 0.9890411100455411]",0.989041
3.482667,4.000000,"[2.0632672832807635, 0.9860481384729819]",0.986048
3.499333,4.000000,"[2.0782622918576816, 0.9861430419349413]",0.986143
3.516000,4.000000,"[2.0911678216309224, 0.9880879068563905]",0.988088
3.532667,4.000000,"[2.1027410331669123, 0.9911293744530493]",0.991129
3.549333,4.000000,"[2.1134439590739915, 0.9948091535542517]",0.994809
3.566000,4.000000,"[2.1235588952613305, 0.9988486303018592]",0.998849
3.582667,4.000000,"[2.133258670029163, 1.003078600002651]",1.003079
3.599333,-4.000000,"[2.0243574343571447, 0.9987070382099271]",0.998707
3.616000,4.000000,"[2.048002049568485, 0.9905690079521485]",0.990569
3.632667,4.000000,"[2.0662790722637308, 0.987552439150462]",0.987552
3.649333,4.000000,"[2.0812258770485217, 0.9876238639587664]",0.987624
3.666000,4.000000,"[2.09408412403244, 0.9895454670162761]",0.989545
3.682667,4.000000,"[2.1056108982082895, 0.9925639470525164]",0.992564
3.699333,4.000000,"[2.116268181646024, 0.996221045662049]",0.996221
3.716000,4.000000,"[2.126338235033621, 1.0002381667168763]",1.000238
3.732667,-4.000000,"[2.017701859720191, 0.995756675703777]",0.995757
3.749333,4.000000,"[2.041546514627645, 0.9875710777157255]",0.987571
3.766000,4.000000,"[2.059983488657145, 0.984544609406912]",0.984545
3.782667,4.000000,"[2.075065227199483, 0.9846287705601697]",0.984629
3.799333,4.000000,"[2.0880425775021, 0.9865765964812062]",0.986577
3.816000,4.000000,"[2.0996782286276336, 0.9896292190340101]",0.989629
3.832667,4.000000,"[2.1104375846147954, 0.9933249944581484]",0.993325
3.849333,4.000000,"[2.120604999156771, 0.9973832696530242]",0.997383
3.866000,4.000000,"[2.1303545583027637, 1.0016336004236963]",1.001634
3.882667,-4.000000,"[2.021501183517137, 0.9972832097963742]",0.997283
3.899333,4.000000,"[2.0451922098101236, 0.9891667047850786]",0.989167
3.916000,4.000000,"[2.063514486659596, 0.9861717398257024]",0.986172
3.932667,4.000000,"[2.07850557137219, 0.9862646814871605]",0.986265
3.949333,4.000000,"[2.0914072395962795, 0.9882076157142103]",0.988208
3.966000,4.000000,"[2.102976650896305, 0.9912471832417109]",0.991247
3.982667,4.000000,"[2.113675836899559, 0.9949250924207333]",0.994925
3.999333,4.000000,"[2.1237870925528055, 0.9989627289194005]",0.998963
4.016000,4.000000,"[2.133483245211014, 1.0031908875764064]",1.003191
4.032667,-4.000000,"[2.0245784449246726, 0.9988175434832517]",0.998818
4.049333,4.000000,"[2.048219552103409, 0.9906777592132465]",0.990678
4.066000,4.000000,"[2.066493122448945, 0.9876594642391902]",0.987659
4.082667,4.000000,"[2.08143652968269, 0.9877291902734859]",0.987729
4.099333,4.000000,"[2.094291433044181, 0.9896491215207049]",0.989649
4.116000,4.000000,"[2.1058149166700826, 0.9926659562825338]",0.992666
4.132667,4.000000,"[2.1164689617878545, 0.9963214357324288]",0.996321
4.149333,4.000000,"[2.1265358282563915, 1.0003369633279349]",1.000337
4.166000,-4.000000,"[2.0178963166088493, 0.9958539041479247]",0.995854
4.182667,4.000000,"[2.041737884964311, 0.9876667628839407]",0.987667
4.199333,4.000000,"[2.0601718214336837, 0.9846387757951056]",0.984639
4.216000,4.000000,"[2.075250570630123, 0.9847214422754414]",0.984721
4.232667,4.000000,"[2.088224979035779, 0.9866677972480149]",0.986668
4.249333,4.000000,"[2.0998577349601453, 0.9897189722002459]",0.989719
4.266000,4.000000,"[2.1106142417007425, 0.9934133230011092]",0.993413
4.282667,4.000000,"[2.1207788522213327, 0.9974701961852973]",0.997470
4.299333,4.000000,"[2.1305256518532762, 1.0017191471989477]",1.001719
4.316000,-4.000000,"[2.0216695613544355, 0.9973673987150378]",0.997367
4.332667,4.000000,"[2.045357915039914, 0.9892495573999756]",0.989250
4.349333,4.000000,"[2.0636775617033156, 0.9862532773475593]",0.986253
4.366000,4.000000,"[2.0786660579779377, 0.986344924790031]",0.986345
4.382667,4.000000,"[2.0915651788495033, 0.9882865853408186]",0.988287
4.399333,4.000000,"[2.103132083230314, 0.9913248994087129]",0.991325
4.416000,4.000000,"[2.1138288021058815, 0.9950015750238925]",0.995002
4.432667,4.000000,"[2.123937629791369, 0.9990379975386806]",0.999038
4.449333,4.000000,"[2.133631393020174, 1.0032649614809848]",1.003265
4.466000,-4.000000,"[2.024724241231072, 0.9988904416364511]",0.998890
4.482667,4.000000,"[2.0483630342316985, 0.9907495002773917]",0.990750
4.499333,4.000000,"[2.066634327131335, 0.9877300665803851]",0.987730
4.516000,4.000000,"[2.0815754930683505, 0.9877986719663157]",0.987799
4.532667,4.000000,"[2.094428190708496, 0.9897175003528625]",0.989718
4.549333,4.000000,"[2.1059495036237603, 0.992733249759373]",0.992733
4.566000,4.000000,"[2.116601412485892, 0.9963876610814476]",0.996388
4.582667,4.000000,"[2.1266661766068897, 1.0004021375031842]",1.000402
4.599333,-4.000000,"[2.0180245959816996, 0.9959180438343499]",0.995918
4.616000,4.000000,"[2.041864128199732, 0.9877298845016517]",0.987730
4.632667,4.000000,"[2.060296060850634, 0.984700895503581]",0.984701
4.649333,4.000000,"[2.0753728380345726, 0.9847825759776662]",0.984783
4.666000,4.000000,"[2.0883453057288497, 0.9867279605945505]",0.986728
4.682667,4.000000,"[2.0999761517461266, 0.9897781805932374]",0.989778
4.699333,4.000000,"[2.1107307788949807, 0.9934715915982285]",0.993472
4.716000,4.000000,"[2.1208935396579855, 0.9975275399036236]",0.997528
4.732667,4.000000,"[2.1306385188929533, 1.0017755807187867]",1.001776
4.749333,-4.000000,"[2.0217806368917155, 0.9974229364836782]",0.997423
4.766000,4.000000,"[2.0454672275107417, 0.9893042136353892]",0.989304
4.782667,4.000000,"[2.0637851390922797, 0.9863070660420414]",0.986307
4.799333,4.000000,"[2.078771927825438, 0.9863978597137807]",0.986398
